division,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,odds_home,odds_draw,odds_away
1,2017-08-19,Juventus,Cagliari,3,0,1,2,0,1,1.16,8.29,24.44
1,2017-08-19,Verona,Napoli,1,3,3,0,2,3,8.46,05.08,1.42
1,2017-08-20,Atalanta,Roma,0,1,3,0,1,3,3.17,3.56,2.36
1,2017-08-20,Bologna,Torino,1,1,2,1,1,2,3.29,3.42,2.36
1,2017-08-20,Crotone,Milan,0,3,3,0,3,3,06.04,4.2,1.62
1,2017-08-20,Inter,Fiorentina,3,0,1,2,0,1,1.57,4.42,6.33
1,2017-08-20,Lazio,Spal,0,0,2,0,0,2,1.31,5.72,12.15
1,2017-08-20,Sampdoria,Benevento,2,1,1,1,1,2,1.69,3.96,5.63
1,2017-08-20,Sassuolo,Genoa,0,0,2,0,0,2,2.18,3.49,3.63
1,2017-08-20,Udinese,Chievo,1,2,3,1,1,2,2.11,3.44,3.91
1,2017-08-26,Benevento,Bologna,0,1,3,0,0,2,2.83,3.26,2.78
1,2017-08-26,Genoa,Juventus,2,4,3,2,2,2,10.61,4.69,1.4
1,2017-08-26,Roma,Inter,1,3,3,1,0,1,2.32,3.6,3.21
1,2017-08-27,Chievo,Lazio,1,2,3,1,1,2,3.65,3.4,2.21
1,2017-08-27,Crotone,Verona,0,0,2,0,0,2,2.55,3.22,3.15
1,2017-08-27,Fiorentina,Sampdoria,1,2,3,0,2,3,1.88,3.73,4.54
1,2017-08-27,Milan,Cagliari,2,1,1,1,0,1,1.25,6.76,14.02
1,2017-08-27,Napoli,Atalanta,3,1,1,0,1,3,1.42,5,8.49
1,2017-08-27,Spal,Udinese,3,2,1,1,0,1,2.5,3.22,3.23
1,2017-08-27,Torino,Sassuolo,3,0,1,1,0,1,1.76,3.89,5.15
1,2017-09-09,Juventus,Chievo,3,0,1,1,0,1,1.19,7.4,22.64
1,2017-09-10,Atalanta,Sassuolo,2,1,1,1,1,2,1.58,4.21,6.59
1,2017-09-10,Benevento,Torino,0,1,3,0,0,2,4.62,3.89,1.83
1,2017-09-10,Bologna,Napoli,0,3,3,0,0,2,9.63,5.22,1.38
1,2017-09-10,Cagliari,Crotone,1,0,1,1,0,1,1.69,3.87,5.83
1,2017-09-10,Inter,Spal,2,0,1,1,0,1,1.24,6.97,14.25
1,2017-09-10,Lazio,Milan,4,1,1,2,0,1,2.42,3.57,03.07
1,2017-09-10,Udinese,Genoa,1,0,1,1,0,1,2.45,3.23,3.32
1,2017-09-10,Verona,Fiorentina,0,5,3,0,3,3,3.57,3.44,2.23
1,2017-09-16,Crotone,Inter,0,2,3,0,0,2,10.12,5.36,1.36
1,2017-09-16,Fiorentina,Bologna,2,1,1,0,0,2,1.56,4.4,6.68
1,2017-09-16,Roma,Verona,3,0,1,2,0,1,1.21,7.83,14.9
1,2017-09-17,Chievo,Atalanta,1,1,2,0,0,2,03.01,3.29,2.6
1,2017-09-17,Genoa,Lazio,2,3,3,0,1,3,3.96,3.68,02.02
1,2017-09-17,Milan,Udinese,2,1,1,2,1,1,1.38,5.23,9.71
1,2017-09-17,Napoli,Benevento,6,0,1,4,0,1,1.13,10.76,23.39
1,2017-09-17,Sassuolo,Juventus,1,3,3,0,1,3,7.52,4.44,1.51
1,2017-09-17,Spal,Cagliari,0,2,3,0,1,3,2.43,3.45,3.15
1,2017-09-17,Torino,Sampdoria,2,2,2,2,2,2,1.78,04.01,4.81
1,2017-09-19,Bologna,Inter,1,1,2,1,0,1,5.96,4.25,1.62
1,2017-09-20,Atalanta,Crotone,5,1,1,3,0,1,1.36,05.05,11.46
1,2017-09-20,Benevento,Roma,0,4,3,0,2,3,10.33,5.62,1.34
1,2017-09-20,Cagliari,Sassuolo,0,1,3,0,0,2,2.17,3.53,3.64
1,2017-09-20,Genoa,Chievo,1,1,2,0,0,2,2.3,3.34,3.51
1,2017-09-20,Juventus,Fiorentina,1,0,1,0,0,2,1.35,5.42,10.7
1,2017-09-20,Lazio,Napoli,1,4,3,1,0,1,3.53,3.8,2.11
1,2017-09-20,Milan,Spal,2,0,1,1,0,1,1.26,6.45,13.08
1,2017-09-20,Udinese,Torino,2,3,3,0,2,3,2.94,3.42,2.59
1,2017-09-20,Verona,Sampdoria,0,0,2,0,0,2,3.66,3.64,2.12
1,2017-09-23,Juventus,Torino,4,0,1,2,0,1,1.42,5.11,8.46
1,2017-09-23,Roma,Udinese,3,1,1,3,0,1,1.28,6.36,12.69
1,2017-09-23,Spal,Napoli,2,3,3,1,1,2,15,6.95,1.24
1,2017-09-24,Cagliari,Chievo,0,2,3,0,0,2,2.28,3.43,3.46
1,2017-09-24,Crotone,Benevento,2,0,1,1,0,1,02.03,3.46,4.21
1,2017-09-24,Fiorentina,Atalanta,1,1,2,1,0,1,2.31,3.49,3.33
1,2017-09-24,Inter,Genoa,1,0,1,0,0,2,1.29,06.08,12.86
1,2017-09-24,Sampdoria,Milan,2,0,1,0,0,2,3.87,3.75,02.02
1,2017-09-24,Sassuolo,Bologna,0,1,3,0,0,2,2.12,3.41,3.91
1,2017-09-24,Verona,Lazio,0,3,3,0,2,3,6.3,4.29,1.59
1,2017-09-30,Genoa,Bologna,0,1,3,0,0,2,2.43,3.28,3.3
1,2017-09-30,Udinese,Sampdoria,4,0,1,1,0,1,2.82,3.31,2.75
1,2017-10-01,Atalanta,Juventus,2,2,2,1,2,3,5.5,3.73,1.75
1,2017-10-01,Benevento,Inter,1,2,3,1,2,3,11.86,6.24,1.29
1,2017-10-01,Chievo,Fiorentina,2,1,1,1,1,2,2.88,3.28,2.71
1,2017-10-01,Lazio,Sassuolo,6,1,1,1,1,2,1.46,4.94,7.5
1,2017-10-01,Milan,Roma,0,2,3,0,0,2,2.73,3.56,2.68
